name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Джернау,TTE_jernau,Фрегат,High Tech,displacer,10,1700,300,2250,,150,55,,150,130,100,60,120,200,OMNI,,150,0.4,1,,,15,30,50,20,1,20,10,12000,10,20,180,0.25,6,6,,,,,,,,TTE_bp,,0.5,2,2,,
Морат,TTE_morat,Эсминец,High Tech,microburn,15,3800,550,5400,,350,85,,100,100,80,35,80,250,OMNI,,150,0.3,1,,,20,40,40,60,2,30,10,20000,5,15,300,0.25,9,9,,,,,,,,TTE_bp,,0.7,2,3,,
Гургех,TTE_gurgeh,Крейсер,High Tech,plasmajets,22,9000,900,11000,,800,165,,80,50,25,25,25,1800,OMNI,,180,0.5,1,,,75,200,150,90,3,30,8,200000,4,20,420,0.25,30,30,,,,,,,,TTE_bp,,0.6,2,3,,
Генар,TTE_genar,Лёгкий крейсер,High Tech,microburn,18,6000,700,9000,,600,130,,95,100,80,30,60,650,OMNI,,180,0.3,1,,,60,120,60,80,3,27,9,115000,4,12,420,0.25,22,22,,,,,,,,TTE_bp,,0.7,2,3,,
Азадиан,TTE_azadian,Линкор,High Tech,fortressshield,42,19000,1600,25000,,1300,375,2,40,20,15,5,5,3600,OMNI,,360,0.6,1,,,450,1000,300,300,10,30,7,500000,4,20,720,0.25,62,62,,,,,,,,TTE_bp,,0.6,2,4,,
Хофоэн,TTE_hofoen,Линейный крейсер,High Tech,microburn,38,10000,1000,15000,,1000,280,,70,50,40,8,12,2500,OMNI,,180,0.25,1,,,425,800,400,450,8,56,8,330000,4,20,600,0.25,45,45,,,,,,,,TTE_bp,,0.6,2,4,,
Атластрал,TTE_atlastral,Боевой грузовик,High Tech,flarelauncher,16,9000,650,8000,,550,210,,25,10,6,6,6,6000,OMNI,,95,0.6,1,,,200,350,2000,200,6,67,7,175000,2,25,720,0.25,16,16,,,,,,,,TTE_bp,,0.7,2,4,,
Джандралигели,TTE_jandraligeli,Боевой танкер,High Tech,microburn,14,5000,500,4200,,250,95,,90,60,40,30,60,400,OMNI,,300,0.4,1,,,80,100,250,550,2,30,8,40000,5,15,360,0.25,14,14,,,,,,,,TTE_bp,,0.5,2,3,,
Чамлис,TTE_chamlis,Боевой танкер,High Tech,maneuveringjets,8,1650,250,2100,,125,50,,100,80,100,60,110,250,OMNI,,170,0.4,1,,,25,40,90,200,1,20,9,12000,8,12,300,0.25,7,7,,,,,,,,TTE_bp,,0.4,2,2,,
Гелиан,TTE_gelian,Логистическая поддержка,High Tech,maneuveringjets,28,10000,1100,14000,,750,210,4,50,10,10,20,20,4000,OMNI,,120,0.5,1,,,350,750,500,550,10,45,8,200000,2,21,720,0.25,28,28,,,,,,,,TTE_bp,,0.6,2,3,,
Эспери,TTE_esperi,Боевой грузовик,High Tech,displacer,8,2250,250,1600,,120,55,,120,105,70,55,90,300,OMNI,,180,0.4,1,,,25,50,125,40,1,40,9,14500,8,10,240,0.25,8,8,,,,,,,,TTE_bp,,0.5,2,2,,
Квиетус,TTE_quietus,Боевой грузовик,High Tech,microburn,13,6000,650,7250,,480,130,2,75,50,20,22,22,1400,OMNI,,150,0.5,1,,,95,125,750,60,4,15,8,75000,4,20,480,0.25,12,12,,,,,,,,TTE_bp,,0.6,2,3,,
Каконим,TTE_caconym,Гибридный фрегат,High Tech,plasmajets,7,1500,150,2250,,150,55,1,130,120,90,60,80,200,OMNI,,150,0.4,1,,,20,35,50,20,1,20,10,12000,10,20,180,0.25,6,6,,,,,,,,TTE_bp,,0.5,2,2,,
Гестра,TTE_gestra,Гибридный эсминец,High Tech,displacer,11,4500,350,4700,,280,85,2,90,55,25,35,30,400,OMNI,,150,0.4,1,,,60,120,250,70,2,35,9,36000,4,8,360,0.25,10,10,         ,,,,,,,TTE_bp,,0.6,2,3,,
Аморфия,TTE_amorphia,Гибридный крейсер,High Tech,targetingfeed,18,8500,850,9500,,650,175,3,75,30,20,20,20,2000,OMNI,,160,0.4,1,,,220,310,100,60,4,25,8,165000,4,15,420,0.25,22,22,,,,,,,,TTE_bp,,0.4,2,3,,
Ваватч,TTE_vavatch,Танкер,High Tech,flarelauncher,3,500,180,1500,,100,30,,130,75,55,35,65,180,OMNI,,90,0.5,1,,,10,15,10,310,1,300,9,8200,9,20,180,0.25,3,3,,, ,,,,"CIVILIAN, TANKER",TTE_bp,,0.7,2,4,,
Ламм,TTE_lamm,Танкер,High Tech,flarelauncher,6,1600,300,2000,,150,55,,80,35,25,30,20,380,OMNI,,90,0.5,1,,,15,25,15,810,2,400,8,23000,6,20,300,0.25,5,5,,,,,,,"CIVILIAN, TANKER",TTE_bp,,0.75,3,4,,
Олмедрека,TTE_olmedreca,Танкер,High Tech,flarelauncher,12,9000,1000,7000,,300,135,,80,20,15,10,10,3600,OMNI,,180,0.5,1,,,55,110,150,3100,6,500,7,81000,3,20,720,0.25,12,12,,,,,,,"CIVILIAN, TANKER",TTE_bp,,0.75,3,5,,
Рабароанса,TTE_rabaroansa,Тяжёлый грузовик,High Tech,microburn,8,4500,250,2750,,150,75,,50,30,15,15,15,1400,OMNI,,150,0.5,1,,,40,200,950,90,4,30,8,41000,3,20,480,0.25,7,7,,,,,,,"CIVILIAN, FREIGHTER",TTE_bp,,0.6,2,3,,
Инволукра,TTE_involucra,Гибридный крейсер,High Tech,damper,16,9000,1050,4000,,200,130,3,55,25,15,15,15,1800,OMNI,,150,0.4,1,,,210,300,90,50,4,15,8,127000,4,12,420,0.25,20,20,,,,,,,,TTE_bp,,0.4,2,3,,
Брайджа,TTE_braijsa,Тяжёлый крейсер,High Tech,plasmajets,17,11000,1150,10000,,550,210,,50,30,15,12,12,2000,OMNI,,180,0.5,1,,,200,300,120,120,5,30,8,135000,4,13,540,0.25,25,25,,,,,,,,TTE_bp,,0.4,2,3,,
Лупум,TTE_lupum,Крейсер,High Tech,displacer,20,4500,1350,6750,,450,190,,80,60,50,60,120,600,FRONT,,150,0.4,1,,,45,90,150,60,3,60,9,72000,10,20,180,0.25,16,16,,,,,,,,TTE_bp,,0.5,2,2,,
Чиарк,TTE_chiark,Исследовательский буксир,High Tech,flarelauncher_active,6,3000,125,1500,,70,50,2,50,25,20,15,7,400,OMNI,,120,0.5,1,,,20,35,300,60,2,150,8,35000,5,20,240,0.25,8,8,,,,,,,CIVILIAN,TTE_bp,,0.6,2,3,,
Меристину,TTE_meristinoux,Транспорт,High Tech,flarelauncher_active,7,3000,550,4000,,300,65,,90,90,70,45,60,400,OMNI,,150,0.4,1,,,20,250,25,80,2,50,9,36000,5,20,300,0.25,10,10,,,,,,,TRANSPORT,TTE_bp,,0.5,2,3,,
Лисейден,TTE_liseiden,Лёгкий авианосец,High Tech,reservewing,9,2900,300,5400,,350,85,2,120,100,90,45,80,250,OMNI,,180,0.3,1,,,30,50,80,60,2,30,10,22000,5,15,300,0.25,8,8,,,,,,,CARRIER,TTE_bp,,0.7,2,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Drones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дажейл,TTE_dajeil,,High Tech,,,255,55,225,,125,,,125,175,175,145,290,5,OMNI,,25,0.4,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
Грумман,TTE_grumman,,High Tech,,,325,100,150,,100,,,200,400,300,90,180,50,OMNI,,180,0.4,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,
Уингклиппер,TTE_wingclipper,,High Tech,,,100,10,500,,100,,,450,500,450,180,360,10,FRONT,,120,0.4,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,
Фрайтспир,TTE_frightspear,,High Tech,,,350,75,550,,200,,,250,350,300,110,240,25,OMNI,,160,0.4,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,
