name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
ПВО-импульсный лазер IR,TTE_pdirpulse,1,,800,500,,45,,0,70,4,,,,ENERGY,38,,0.333333,0,,,,,,,,1600,,,,,,"PD,ANTI_FTR","energy8, pd9, TTEW_bp",,,,ПВО,,,,,,,,,,
ПВО-импульсный лазер,TTE_pdpulselaser,1,,2500,600,,100,,0,50,8,,,,ENERGY,80,,0.333333,0,,,,,,,,1800,,,,,,"PD,ANTI_FTR","energy13, pd9, TTEW_bp",,,,ПВО,,,,,,,,,,
ПВО-импульсный горный лазер,TTE_pdpulse,0,,100,600,,8,,0,80,1,,,,ENERGY,3,,0,0.25,1,,,,,,,2400,,,,,,PD,"energy0, pd0, TTEW_bp",,,,ПВО,,,,,,,,,,
Импульсный бластер,TTE_pb,1,,3500,800,,600,,200,20,12,,,,HIGH_EXPLOSIVE,850,,0.5,1.2,1,,,,,,,1200,,,,,,USE_LESS_VS_SHIELDS,"energy12,TTEW_bp",,,,Против брони,,,,,Каждый заряд дополнительно наносит %s урона броне. Этот урон не уменьшается бронёй.,100,,Каждый заряд дополнительно наносит %s урона броне. Этот урон не уменьшается бронёй.,,
Ионный разряд,TTE_ionburst,2,,2500,800,,250,200,100,25,12,,,,KINETIC,250,,,1,1,1,3,5,1,4,,1200,,,,,,,"energy13,TTEW_bp",,,,Против щитов,,,,,"Попадания по корпусу или броне с вероятностью %s создают дугу к орудиям и двигателям, нанося дополнительный урон, равный исходному попаданию.",25%,,"Попадания по корпусу или броне с вероятностью %s создают дугу к орудиям и двигателям, нанося дополнительный урон, равный исходному попаданию.",,
Лёгкая плазменная пушка,TTE_lplasma,3,,5500,800,,350,,0,20,18,,,,ENERGY,425,,0.33,1.01,3,0.33,,,,,,800,,,500,,,"STRIKE, USE_VS_FRIGATES","energy20, TTEW_bp",,,,Универсальное,,,,,Система наведения не способна сопровождать истребители при локальном или автоматическом управлении.,,,Система наведения не способна сопровождать истребители при локальном или автоматическом управлении.,,
Лёгкая энергетическая флешетта,TTE_lef,1,,1000,800,,400,350,0,22,6,,,,FRAGMENTATION,350,,,1.5,,,3,5,5,10,,1800,,,,,,FIRE_WHEN_INEFFICIENT,"energy8, TTEW_bp",,,,Подавление,,,,,"Попадания по корпусу или броне с вероятностью %s создают дугу к орудиям и двигателям, нанося дополнительный урон, равный исходному попаданию.",25%,,"Попадания по корпусу или броне с вероятностью %s создают дугу к орудиям и двигателям, нанося дополнительный урон, равный исходному попаданию.",,
Энергетическая флешетта,TTE_ef,1,,2000,800,,800,700,0,22,12,,,,FRAGMENTATION,700,,,1.5,,,3,5,5,10,,1800,,,,,,FIRE_WHEN_INEFFICIENT,"energy12,TTEW_bp",,,,Подавление,,,,,"Попадания по корпусу или броне с вероятностью %s создают дугу к орудиям и двигателям, нанося дополнительный урон, равный исходному попаданию.",25%,,"Попадания по корпусу или броне с вероятностью %s создают дугу к орудиям и двигателям, нанося дополнительный урон, равный исходному попаданию.",,
Тяжёлая энергетическая флешетта,TTE_hef,2,,6000,800,,1200,1100,0,17,18,,,,FRAGMENTATION,1100,,,1.5,,,3,5,5,10,,1800,,,,,,FIRE_WHEN_INEFFICIENT,"energy20, TTEW_bp",,,,Подавление,,,,,"Попадания по корпусу или броне с вероятностью %s создают дугу к орудиям и двигателям, нанося дополнительный урон, равный исходному попаданию.",25%,,"Попадания по корпусу или броне с вероятностью %s создают дугу к орудиям и двигателям, нанося дополнительный урон, равный исходному попаданию.",,
Тяжёлый ионный пульсер,TTE_hip,2,0.6,6250,800,,125,900,0,20,18,30,2,3,ENERGY,150,,0.05,0.05,3,0.1,3,20,1,4,,1000,,,,,,,"energy20, TTEW_bp",,,,Подавление,,,,,"Попадания по корпусу или броне с вероятностью %s создают дугу к орудиям и двигателям, нанося дополнительный урон, равный исходному попаданию.",25%,,"Попадания по корпусу или броне с вероятностью %s создают дугу к орудиям и двигателям, нанося дополнительный урон, равный исходному попаданию.",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
