rank_id,name,salary,canLeave,tariffReduction,allowedMarketsToOwn,penaltyForLeavingRep,pointsOfObligation,tags,description
mercenary,Наемник,5000,true,2,0,10,2,"can_scan_cargo,free_storage","Подрядчик, наемный стрелок, одноразовый исполнитель. Один из многих, кто пытается доказать, что стоит больше простой платы за работу."
auxiliary,Вспомогательный,10000,true,5,0,30,3,"can_restock,can_scan_cargo,free_storage","Проверенный и надежный, но еще не полноценный член. Привилегии несут ответственность, а уважение нужно заслужить."
commander,Командир,20000,true,7,1,40,4,"can_restock,can_intimidate,can_scan_cargo,free_storage,have_research_permit,can_retire","Опытный и верный, с правом говорить и представлять других, но еще далекий от настоящего влияния."
admiral,Адмирал,50000,true,9,1,80,5,"can_restock,can_intimidate,can_scan_cargo,free_storage,have_research_permit,faction_blueprint_access","Вас боятся и уважают. В ваших руках огневая мощь, способная опустошать системы, и доверие действовать без надзора."
planetary_governor,Планетарный губернатор,120000,false,11,2,150,5,"can_retire,can_intimidate,gets_colony_protection,have_research_permit,can_scan_cargo,free_storage,faction_blueprint_access","Титул чаще наследуют, но вы заслужили его делом, престижем и властью. Ваше имя уже знают, и скоро ощутят вашу экономическую и военную силу."
system_governor,Системный губернатор,150000,false,13,2,200,6,"can_retire,can_intimidate,gets_colony_protection,have_research_permit,can_restock,can_scan_cargo,free_storage,faction_blueprint_access","Кто-то получает мелочь, кто-то прибыль, а вы отвечаете за тяжелые решения, которые другие не хотят принимать."
grand_moff,Гранд-мофф,200000,false,15,3,200,1,"can_retire,can_intimidate,gets_colony_protection,have_research_permit,can_restock,can_scan_cargo,free_storage,faction_blueprint_access","Кто на самом деле главный? Формально другие, но все знают, кто дергает за нити. Когда занавес падает, вы точно знаете свое место."
,,,,,,,,,
cadet,Кадет,5000,true,2,0,10,2,"can_scan_cargo,free_storage","Порядок. Дисциплина. Винтик сложной машины. Не блестяще и скучно, но труд ведет к повышению, а долг должен восторжествовать."
ensign,Энсин,10000,true,5,0,30,3,"can_restock,can_scan_cargo,free_storage","Вести значит командовать, командовать значит признавать риск, признавать риск значит планировать победу. Так говорит Кредо."
l_commander,Лейтенант-коммандер,20000,true,7,1,40,4,"can_restock,can_intimidate,can_scan_cargo,free_storage,have_research_permit,can_retire","Старшинство дает привилегии и стол. К счастью, ваш стол стоит на мостике массивной оружейной платформы."
commodore,Коммодор,50000,true,9,1,80,5,"can_restock,can_intimidate,can_scan_cargo,free_storage,have_research_permit,faction_blueprint_access",Опыт и выдержка нижних эшелонов старшего командования. Бесконечные бумаги и угрозы по обе стороны границы - все во имя Кредо.
rear_admiral,Контр-адмирал,120000,false,11,2,150,5,"can_retire,can_intimidate,gets_colony_protection,have_research_permit,can_scan_cargo,free_storage,faction_blueprint_access","Гордость флота, острие копья и бастион Кредо. Ваш пример хранит миры и сдерживает врага."
vice_admiral,Вице-адмирал,150000,false,13,2,200,6,"can_retire,can_intimidate,gets_colony_protection,have_research_permit,can_restock,can_scan_cargo,free_storage,faction_blueprint_access",Иногда труднее всего принять неизбежную жертву. Миллионы живут и умирают по вашему приказу ради единства под Кредо.
sub_s_admiral,Адмирал подсектора,200000,false,15,3,200,1,"can_retire,can_intimidate,gets_colony_protection,have_research_permit,can_restock,can_scan_cargo,free_storage,faction_blueprint_access","Армии будут раздроблены, флоты рассеяны, миры сожжены - все ради общего процветания и движения вперед к единому Сектору."
,,,,,,,,,
frater,Брат,5000,true,2,0,10,2,"can_scan_cargo,free_storage","Как все начиналось до Его пути, так и вы делаете смиренные шаги по тропе бедности и покаяния."
missionary,Миссионер,10000,true,5,0,30,3,"can_restock,can_scan_cargo,free_storage","Мы все лишь прах, и в прах Он вернулся. Пустота полна Его света, и вы несете Его волю каждому миру."
confessor,Исповедник,20000,true,7,1,40,4,"can_restock,can_intimidate,can_scan_cargo,free_storage,have_research_permit,can_retire",От смиренного начала до политики масс: братья и сестры доверяют вашим словам и ищут совета.
cardinal,Кардинал,50000,true,9,1,80,5,"can_restock,can_intimidate,can_scan_cargo,free_storage,have_research_permit,faction_blueprint_access","Его Свет сияет в ваших глазах, Его Кровь течет в ваших венах. Ваши действия делают Его волю явной."
cardinal_palatine,Кардинал-палатин,120000,false,11,2,150,5,"can_retire,can_intimidate,gets_colony_protection,have_research_permit,can_scan_cargo,free_storage,faction_blueprint_access","Паству нужно вести к звездам и другим мирам, распространяя благословенные слова. Испытаний много, но вера сильнее."
deacon,Диакон,150000,false,13,2,200,6,"can_retire,can_intimidate,gets_colony_protection,have_research_permit,can_restock,can_scan_cargo,free_storage,faction_blueprint_access","Многие корабли были названы ковчегами. Вы ведете не один ковчег, а целые флоты чистых сердцем от мира к миру."
arch_deacon,Архидиакон,200000,false,15,3,200,1,"can_retire,can_intimidate,gets_colony_protection,have_research_permit,can_restock,can_scan_cargo,free_storage,faction_blueprint_access","Свет Лудда виден в каждом действии. Каждое слово - обещание расплаты. Для братьев вы чудо, для врагов - гнев."
,,,,,,,,,
retinue,Свита,5000,true,2,0,10,2,"can_scan_cargo,free_storage","Клятва защищать, рождение служить, вдохновение вести и обреченность умереть. Это пока не ваша судьба, а судьба тех, кто рядом."
corsair,Корсар,10000,true,5,0,30,3,"can_restock,can_scan_cargo,free_storage","В каперстве есть честь: прибыль питает войну, припасы грабятся, остовы забираются раньше врагов."
void_scarred,Помеченный пустотой,20000,true,7,1,40,4,"can_restock,can_intimidate,can_scan_cargo,free_storage,have_research_permit,can_retire","Закаленный бесчисленными боями на границах, поддерживающий торговую жизнь Лиги и союзников."
oath_sworn,Связанный клятвой,50000,true,9,1,80,5,"can_restock,can_intimidate,can_scan_cargo,free_storage,have_research_permit,faction_blueprint_access","Линия, что не ломается; щит, что не сдвигается; меч, что всегда остер. На вас можно положиться."
felarch,Феларх,120000,false,11,2,150,5,"can_retire,can_intimidate,gets_colony_protection,have_research_permit,can_scan_cargo,free_storage,faction_blueprint_access","Вождь корсаров и ломатель флотов. Ваша кровожадность пугает, но именно такие ветераны удерживают Лигу живой."
baron,Барон,150000,false,13,2,200,6,"can_retire,can_intimidate,gets_colony_protection,have_research_permit,can_restock,can_scan_cargo,free_storage,faction_blueprint_access","Власть над мирами требует понимать их желания, обеспечивать безопасность и решать споры, избегая бедствий."
prince,Принц,200000,false,15,3,200,1,"can_retire,can_intimidate,gets_colony_protection,have_research_permit,can_restock,can_scan_cargo,free_storage,faction_blueprint_access","Аристократия теперь не по крови, а по заслугам. Только сильные определяют ход истории."
,,,,,,,,,
powder_monkey,Пороховая мартышка,5000,true,2,0,10,2,"free_storage,nonrestrictive_colonization,have_research_permit","Обещали гламур, звезды и богатство. Вместо этого вы бегаете с поручениями в гнезде воров и головорезов."
ravager,Разоритель,10000,true,5,0,30,3,"free_storage,nonrestrictive_colonization,have_research_permit","Смерть не бесчестье. Убийство - поклонение и прибыль. По крайней мере, прибыль вы точно запомнили."
pirate_boss,Пиратский босс,20000,true,7,1,40,4,"free_storage,nonrestrictive_colonization,can_restock,have_research_permit,faction_blueprint_access",Страх держит ряды в порядке. Каждое слово рассчитано на нужное напряжение и обещание боли.
galactic_pillager,Галактический грабитель,50000,true,9,1,80,5,"free_storage,nonrestrictive_colonization,can_restock,have_research_permit,faction_blueprint_access","Кровь и прибыль всегда идут рядом. Плоть гибче технологий, и кто-то должен прорубаться через мусор."
void_reaver_captain,Капитан пустотных рейверов,120000,true,11,2,150,5,"free_storage,nonrestrictive_colonization,have_research_permit,gets_colony_protection,can_restock,faction_blueprint_access","Вы всегда ищете возможность, легкую добычу и большой куш, который сделает вас легендой."
tyrant_overlord,Тиран-повелитель,150000,true,13,2,200,6,"free_storage,nonrestrictive_colonization,have_research_permit,gets_colony_protection,can_restock,faction_blueprint_access","Почти все некомпетентны или слабы. Значение имеют лишь немногие вроде вас, и милости никто не ждет."
abyssal_dreadking,Бездонный король ужаса,200000,true,15,3,200,1,"free_storage,nonrestrictive_colonization,have_research_permit,gets_colony_protection,can_restock,faction_blueprint_access",Ваше влияние широко и абсолютно: от низших отбросов до верхов. Все дрожат под громом ваших орудий.
,,,,,,,,,
intern,Стажер,5000,true,2,0,10,2,"can_scan_cargo,free_storage","Цифра в океане метрик. При чрезмерных усилиях и подхалимстве вы, возможно, когда-нибудь вызовете каскадный эффект."
