name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Гравитоновый луч TTSC,TTSC_gravitonbeam,2,,1500,1000,100,,,10,15,9,,,,HIGH_EXPLOSIVE,,75,0.1,0.1,,,,,,,2400,,,,,,,,"beam12, LR, TTSCW_bp",,TTSC,,Против брони,,,,,Гравитационные эффекты замедляют цель и сбивают её с курса. Эффект незначителен.,,,Гравитационные эффекты замедляют цель и сбивают её с курса. Эффект незначителен.,,
"Система ""Паладин"" TTSC",TTSC_guardian,2,,5000,750,1000,,,0,75,18,20,1,,ENERGY,,750,0,0,0.2,0.1,,,,,1000000,,,,,,,,"beam15, TTSCW_bp",,TTSC,,Универсальное,,,,,"Когда все вспомогательные лучи попадают в цель рядом друг с другом, эффект раскалывания вызывает взрыв, наносящий до 100 ед. осколочного урона другим близким целям.",100 | осколочный,,"Когда все вспомогательные лучи попадают в цель рядом друг с другом, эффект раскалывания вызывает взрыв, наносящий до 100 ед. осколочного урона другим близким целям.",,
Тяжёлый импульсный лазер TTSC,TTSC_heavyburst,2,,2000,600,450,,,0,40,11,5,0.5,,ENERGY,,300,0.1,0.1,0.3,0.1,,,,,10000,,,,,,,,"beam10, TTSCW_bp",,TTSC,,Универсальное,,,,,,,,,,
Лазер высокой интенсивности TTSC,TTSC_hil,1,,4500,1000,500,,,0,5,20,,,,KINETIC,,400,0.1,0.1,,,,,,,2400,,,,,,,,"beam20, LR, TTSCW_bp",,TTSC,,Против щитов,,,,,,,,,,
Луч-перехватчик TTSC,TTSC_interdictorbeam,1,,1000,1000,10,,50,400,15,5,,,,ENERGY,,100,0,0,,,,,,,2400,,,,,,,,TTSCW_bp,,TTSC,,Подавление,,,,,,,,,,
Ионный луч TTSC,TTSC_ionbeam,2,,2500,1000,200,,400,0,15,12,,,,FRAGMENTATION,,200,0.1,0.1,,,,,,,2400,,,,,,,FIRE_WHEN_INEFFICIENT,"beam14, LR, TTSCW_bp",,TTSC,,Подавление,,,,,"Попадания по корпусу или броне периодически создают дуги к орудиям и двигателям, нанося дополнительный ЭМИ- и энергетический урон. Попадания по щитам могут создать проходящую сквозь щит дугу в зависимости от уровня жёсткого потока у цели.",,,"Попадания по корпусу или броне периодически создают дуги к орудиям и двигателям, нанося дополнительный ЭМИ- и энергетический урон. Попадания по щитам могут создать проходящую сквозь щит дугу в зависимости от уровня жёсткого потока у цели.",,
Дальнобойный лазер TTSC,TTSC_lrpdlaser,1,,400,800,100,,,0,100,5,,,,ENERGY,,50,0,0.25,,,,,,,3600,,,,,,,,"beam5, TTSCW_bp",,TTSC,,Универсальное,,,,,,,,,,
Среднедальний лазер TTSC,TTSC_mininglaser,1,,200,600,85,,,0,80,4,,,,ENERGY,,30,0,0.25,,,,,,,2400,,,,,,,,"beam7, SR, TTSCW_bp",,TTSC,,Универсальное,,,,,,,,,,
Импульсный лазер TTSC,TTSC_pdburst,2,,600,500,350,,,0,100,7,3,0.5,,ENERGY,,200,0.1,0.1,0.3,0.1,,,,,10000,,,,,,,,"beam6, TTSCW_bp",,TTSC,,Универсальное,,,,,,,,,,
Дальнобойный импульсный лазер TTSC,TTSC_pdburst_fighter,2,,600,1000,110,,,0,100,7,3,0.5,,ENERGY,,100,0.1,0.1,0.8,0.1,,,,,10000,,,,,,,," beam6, TTSCW_bp",,TTSC,,Универсальное,,,,,,,,,,
