name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,logistics n/a reason,codex variant id,rarity,breakProb,minPieces,maxPieces,travel drive,number
Револьвер,uw_revolver,,Кустарный,uw_fighterflares_eccm,,600,125,600,,130,0,,150,250,150,75,150,40,NONE,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,0,,,,103
Бритва,uw_razor,,Постколлапсный,,,300,50,250,,50,0,,300,400,400,175,350,20,NONE,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,,112
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Сайдкар,uw_sidecar,Фрегат,Джанкер,burndrive,2,2250,275,950,1000,80,30,,100,120,60,50,80,150,FRONT,,90,0.2,1,,,5,15,30,15,1,15,10,4500,8,15,180,0.25,2,2,,,,,,,,uw_junker_bp,,,,0.7,2,2,,219
Факел,uw_torch,Канонерка,Постколлапсный,uw_inferniumdrive,3,2500,500,2500,3125,250,60,,130,70,60,45,70,220,NONE,,,,,,,20,35,35,30,1,30,11,8000,8,10,120,0.25,4,4,,,,,,,,uw_post_collapse_bp,,,,0.4,2,2,,222
Тигр,uw_tiger,Фрегат,Постколлапсный,highenergyfocus,5,1400,250,3000,2625,210,47,,120,90,80,45,70,220,FRONT,,260,0.3,1,,,20,30,25,20,1,20,10,16000,8,10,180,0.25,5,5,,,,,,,,"uw_post_collapse_bp, merc, ind",,,,0.5,2,2,,223
Коса,uw_scythe,Фазовый фрегат,Кустарный,ammofeed,8,1200,300,2500,3750,300,45,,135,100,90,60,90,200,PHASE,phasecloak,,,,0.06,0.06,15,20,25,25,1,25,10,30000,10,30,240,0.25,6,6,,,,,,,,"uw_hack_job_bp, merc, ind",,,,0.5,2,2,,228
Яд,uw_venom,Боевой грузовик,Постколлапсный,flarelauncher,4,2000,400,2000,1875,150,45,,120,120,120,90,120,200,NONE,,,,,,,25,40,90,25,1,25,10,10000,5,10,240,0.25,4,4,22,90,,,,,,"uw_post_collapse_bp, ind",,,,0.4,2,2,,229
Яд-X,uw_venomx,Канонерка,Кустарный,temporalshell,10,1250,150,3300,3500,280,52,,130,200,200,90,240,150,FRONT,,300,0.6,0.6,,,20,30,10,15,1,15,10,34000,8,20,120,0.25,10,10,,,,,,,,"rare_bp, hist2t, merc",,,0.5,0.75,2,2,,230
Хищник,uw_predator,Фрегат,Кустарный,maneuveringjets,5,1750,200,2200,1875,150,50,,140,140,90,50,100,220,FRONT,,150,0.4,1,,,15,30,40,25,1,25,10,18000,8,12,180,0.25,5,5,,,,,,,,"uw_hack_job_bp, merc, ind",,,,0.6,2,2,,231
Хищник-X,uw_predator_x,Фрегат,Пиратский,uw_inferniumdrive,6,2000,200,2200,2250,180,55,,150,150,90,70,120,240,FRONT,,150,0.4,1,,,15,30,30,20,1,20,10,24000,8,12,120,0.25,6,6,,,,,,,,"rare_bp, hist1t",,,,0.7,2,2,,232
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Акула,uw_shark,Боевая баржа,Постколлапсный,uw_inferniumdrive,10,5500,500,3800,4500,270,105,,90,40,30,14,25,450,OMNI,,100,0.4,1,,,55,120,100,100,2,50,9,38000,5,12,420,0.25,8,8,,,,,,,,"uw_post_collapse_bp, merc, ind",,,,0.5,2,3,,233
Кабан,uw_boar,Эсминец,Кустарный,uw_inferniumdrive,9,5000,650,4000,5000,300,95,,50,50,50,30,60,500,OMNI,,180,0.5,1,,,60,100,80,80,3,27,9,34000,5,12,420,0.25,8,8,,,,,,,WEAPONS_FRONT_TO_BACK,"uw_hack_job_bp, merc, ind",,,,0.4,2,3,,326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Варвар,uw_barbarian,Крейсер,Кустарный,uw_inferniumdrive,13,11000,1200,9500,9000,450,145,,35,30,15,12,20,2000,OMNI,,120,0.5,1,,,180,280,125,120,5,24,8,100000,4,12,540,0.25,18,18,,,,,,,,"uw_hack_job_bp, merc, ind",,,,0.5,2,3,,413
