id,type,text1,text2,text3,text4,notes
wpnxt_boltgun,WEAPON,"Лёгкое оружие подавления с отличной дальностью и незначительными затратами на установку. Очень низкий урон ограничивает его практическую эффективность.",,,,
wpnxt_mininglasermk2,WEAPON,"Это скорее инструмент устрашения, чем оружие: его малая конструкция не способна должным образом вместить длинноствольный луч. Как результат, система перегружается сразу, едва внутренние конденсаторы истощяются — а это происходит всего через пару минут непрерывной стрельбы.",,,,
wpnxt_impactbeam,WEAPON,"Способен посредственно подавлять щиты, но лишь на дистанции, неприемлемой для лучевого оружия.",,,,
wpnxt_miniblaster,WEAPON,"Бронебойное оружие малой дальности, изначально предназначенное для небольших операций по добыче полезных ископаемых. Способно пробивать лёгкую броню, но, как обычно для таких инструментов, чудовищно неэффективно по нагрузке.",,,,
wpnxt_boltrepeater,WEAPON,"Универсальное лёгкое оружие с выдающейся дальностью и уроном в секунду при залпе, чьи достоинства нивелируются низкой точностью и слабой огневой мощью при длительной стрельбе.",,,,
wpnxt_voidcannon,WEAPON,"Малоизученное оружие, которое опустошает незащищённый корпус, но теряет эффективность против любого вида брони. Некоторые капитаны также обнаружили, что его успешно можно использовать для рассеивания плотных групп истребителей." ,,,,
wpnxt_enhtaclaser,WEAPON,"Несмотря на некоторую прожорливость по части нагрузки для лучевого вооружения, этот лазер, в свою очередь, перегружает энергосети цели, затрудняя её возможность вести ответный огонь.",,,,
wpnxt_fragpdbeam,WEAPON,"Обеспечивает устойчивый осколочный урон, который разносит в клочья ракеты и легкобронированные истребители. Обладает очень малой дальностью для лучевого оружия, а высокие требования к установке делают его непригодным для кораблей, не располагающих свободными средними энергетическими слотами.",,,,
wpnxt_energyscatterer,WEAPON,"Выпускает мгновенный залп энергетических разрядов, чья скорость и урон немного варьируются. Обладает очень низкой точностью, но демонстрирует хорошую эффективность при установке в фиксированные слоты.",,,,
wpnxt_boltstreamer,WEAPON,"Универсальное среднее оружие с выдающейся дальностью, конкурирующее даже с некоторыми видами баллистического оружия. Малоэффективно против бронированных целей.",,,,
wpnxt_needledriver,WEAPON,"Загадочное оружие, стреляющее высокоскоростными сгустками энергии. Эти снаряды одновременно дестабилизируют щиты и бортовые системы. Внедряясь, подобно иглам, в корпус, они детонируют с небольшой задержкой, что грозит цели сокрушительными повреждениями.",,,,
wpnxt_impactlance,WEAPON,"По сути, это просто четыре высокомощных гравитонных луча, скреплённые в единую установку. Она способна перегрузить любые щиты в секторе, но, увы, её чудовищная прожорливость — даже несмотря на внушительные габариты — делает непрерывную стрельбу физически невозможной.",,,,
wpnxt_boltstorm,WEAPON,"Ведёт шквальный огонь энергетическими разрядами по фиксированной схеме рассеивания. Будучи дешёвым и экономным, это оружие идеально для подавления крупных целей через генерацию жёсткой нагрузки, но против бронированных целей оно практически бесполезно.",,,,
wpnxt_ultrablaster,WEAPON,"Создан для раскалывания крупных астероидов и столь же эффективен против крупных кораблей.",,,,
wpnxt_unstablecannon,WEAPON,"Экспериментальное оружие, стреляющее высокомощными энерго-импульсами, насыщенными антивеществом. Получающиеся в результате снаряды крайне нестабильны, но иногда смертельно опасны.",,,,
wpnxt_voidray,WEAPON,"Массивный ускоритель частиц, предназначенный для быстрого разрушения незащищенного корпуса и наносящий дополнительный урон по бронированным целям, что позволяет ему разрывать на части лёгкую броню.",,,,
wpnxt_minivulcan,WEAPON,"Облегчённая версия пушки «Вулкан». Имеет минимальные требования к установке, но и наносит ничтожный урон. Чаще всего её ставят, чтобы экономить драгоценные очки оснащения для более крупных и важных орудийных установок.",,,,
wpnxt_fragcannon,WEAPON,"Использует кассетные снаряды для поражения незащищённой обшивки. Не обладает достаточной мощностью, чтобы пробить порог бронезащиты крупных кораблей, но может быть эффективен против малых судов.",,,,
wpnxt_lightpounder,WEAPON,"Орудие, стреляющее раскалёнными снарядами, способными разрывать лёгкую и среднюю броню. Низкая скорость снаряда затрудняет попадание по подвижным целям, а устаревший процесс перезарядки ограничивает стабильный урон.",,,,
wpnxt_lightrailburst,WEAPON,"Модифицированный рельсотрон, ведущий огонь короткими очередями по два снаряда. Обладает отличной дальностью и высокой пробивной силой по щитам, однако небольшой боекомплект и низкая скорострельность позволяют сделать не более восьми очередей подряд.",,,,
wpnxt_minimortarbattery,WEAPON,"Трехствольная миномётная установка, создающая сплошную завесу из низкоэнергетических снарядов, чтобы не подпускать вражеские истребители. Низкая точность, малая скорость снарядов и совершенно недостаточная дальность не позволяют эффективно применять её против крупных целей. Для оружия такого класса обладает превосходной энергоэффективностью .",,,,
wpnxt_heavyrailgun,WEAPON,"Крупнокалиберный рельсотрон, стреляющий очередями по четыре выстрела и способный быстро уничтожать вражеские щиты. Как и его уменьшенная версия, он может сделать только восемь непрерывных очередей.",,,,
wpnxt_heavypounder,WEAPON,"Увеличенная версия своего меньшего собрата во всех мыслимых отношениях. Большой урон с каждого выстрела позволяет этому оружию эффективно расправляться медленными бронированными кораблями — по крайней мере до тех пор, пока не потребуется перезарядка.",,,,
wpnxt_shotgun,WEAPON,"Залповое орудие, предназначенное для ближнего боя и позже модифицированное для эффективной стрельбы на средних дистанциях. Обладает отличным шансом нанести урон залпом, но боезапас расходуется очень быстро.",,,,
wpnxt_superrailgun,WEAPON,"Выстреливает массивный пробивающий стержень на экстремальной скорости. Снаряд пробивает практически всё, включая щиты, хотя сокрушительный кинетический удар с тем же успехом может вызвать перегрузку. Мощный ЭМИ-заряд гарантирует, что пробоина не останется незамеченной даже для хорошо бронированных кораблей.",,,,
wpnxt_splinterbattery,WEAPON,"Тяжёлая осколочная пушка, которая кромсает незащищённый корпус и перегружает щиты. При непрерывной стрельбе её эффективность возрастает.",,,,
wpnxt_explosiveshelllauncher,WEAPON,"Снаряды, выпущенные из этой огромной пушки, несут сокрушительный фугасный заряд. Капитаны кораблей боятся этого оружия за его способность разрывать тяжёлую броню, а пилоты истребителей — вдвойне, ведь один точный выстрел может испарить целое звено.",,,,
wpnxt_iontorpedo,WEAPON,"Запускает неуправляемые торпеды, поражающие корабельные системы на большой площади. Щиты почти полностью поглощают их эффект, но выведенные из строя системы получают тяжёлые повреждения.",,,,
wpnxt_clusterminelauncher,WEAPON,"Запускает контейнер с тремя минами близкого действия, которые выбрасываются после небольшой задержки.",,,,
wpnxt_minispiker,WEAPON,"Ведёт огонь управляемыми ракетами, создающими постоянную, но небольшую нагрузку на щиты. Компенсирует низкий урон встроенным механизмом быстрой перезарядки.",,,,
wpnxt_energytorpedo,WEAPON,"Медленная бронированная торпеда с энергозарядом. Обладает слабым прямым уроном, но вблизи точки попадания после короткой задержки происходит несколько вторичных взрывов.",,,,
wpnxt_ionrocket,WEAPON,"Ракетная установка с большой ёмкостью боекомплекта, эффективная против щитов и корабельных систем.",,,,
wpnxt_impaler,WEAPON,"Запускает залп маломощных ракет, оснащённых экспериментальной системой наведения. Ракеты пытаются преодолеть щитовое прикрытие, атакуя цель с различных направлений. ",,,,
wpnxt_energytorpedomed,WEAPON,"Пусковая установка для торпеды класса Расцвет. Интеграция автоматической системы заряжания существенно усложняет процесс стрельбы. В результате выстрел из этого оружия создаёт значительную нагрузку.",,,,
wpnxt_spikebarrage,WEAPON,"Ведёт продолжительный залп скоростных, маломощных энергоракет. Встроенная система наведения неспособна сопровождать истребители.",,,,
wpnxt_clusterlauncherbig,WEAPON,"Запускает контейнер, несущий пять меньших капсул, в каждой из которых — три мины близкого действия. Капсулы выбрасывают свой груз после короткой задержки, в результате чего в широкой дуге рассыпается всего пятнадцать мин.",,,,
wpnxt_orbbarrage,WEAPON,"Выстреливает массивным залпом ионных ракет, окружающих цель. Прямой урон слаб и распылён по большой площади, однако мощный ЭМИ-заряд может оказаться разрушительным для кораблей без полного щитового прикрытия.",,,,
wpnxt_energytorpedolarge,WEAPON,"Увеличенная и усовершенствованная версия торпедной установки класса Расцвет. Попадание вызывает несколько вторичных взрывов на большой площади, которые происходят после заметной задержки.",,,,
wpnxt_morphcannon,WEAPON,"""Результаты испытаний показывают, что полужидкая боеголовка, по-видимому, спонтанно кристаллизуется под воздействием космического холода. Является ли это ошибкой или особенностью... неизвестно.""","-Неизвестная, восстановлено из журнала",,,
wpnxt_energyballlauncher,WEAPON,"""Производственные затраты непомерно высоки. Механизм стрельбы — нестандартный. Уязвимость в процессе зарядки. Проект «Ткач» закрыт на неопределённый срок. Ваши услуги более не требуются.""","-Неизвестная, восстановлено из журнала",,,
wpnxt_phasetorpedo,WEAPON,"""Встроенная система наведения — чистой воды излишество. При такой массе торпеды, наши расчёты показывают, что маневровые двигатели смогут обеспечить поворот максимум на тридцать градусов в секунду. Не будучи математиком, смею предположить, что фазирование — это, грубо говоря, эквивалент поворота на... ну, на бесконечное количество градусов в секунду. Как по мне, второй вариант звучит куда аппетитнее.""","-Неизвестная, восстановлено из журнала",,,
wpnxt_reshaper,SHIP_SYSTEM,"Создаёт аномальное поле, которое резко снижает получаемый урон, на 50% ускоряет пассивное рассеивание нагрузки и откатывает урон, нанесённый корпусу и броне за последние 5 секунд. На время действия блокирует работу щитов и ручной сброс нагрузки.",Защитная,"Активирует таинственное поле, значительно снижающее входящий урон, повышающее пассивное рассеивание нагрузки на 50% и восстанавливающее корпус и броню, которые получили урон в течение последних 5 секунд. Однако на время действия поле блокирует работу щитов и возможность сброса нагрузки.",,
