name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
Божественный скачок,xhan_skipdrive,,,,,,0.1,,4,0.10,0,0,0.2,0.2,,TRUE,,TRUE,,,,,,,,,graphics/icons/hullsys/displacer.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ударный форсаж Xhantach,xhan_microburn,1,,,,,,,,,1,1.5,0.5,20,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,graphics/icons/hullsys/burn_drive.png
Маневровые сопла «Игла»,xhan_maneuvering,,,,,,,,,,1,10,1,20,,,,,,,,,,,,,graphics/icons/hullsys/maneuvering_jets.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Фазовый покров Xhantech,xhan_phasecloak,,,,,,,,,,0.6,,0.4,2,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,graphics/icons/hullsys/phase_cloak.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ЭМИ-ловушки Xhantech,xhan_empflare,,,,,,0.1,,,,,,,10,,,,,,,,,,,,,graphics/icons/hullsys/active_flare_launcher.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ударные ловушки Xhantech,xhan_blastflare,,,,,,,,3,0.05,,,,6,,,,,,,,,,,,,graphics/icons/hullsys/flare_launcher.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Магнитный импульс,XHAN_magneticimpulse,,,,,,0.15,,1,0.08,0.5,,1,,,,,,,,,,,,,,graphics/icons/hullsys/quantum_disruptor.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Темпоральная фиксация,XHAN_TemporalLock,,,,,,0.15,,1,0.04,0.1,,7,,,,,,,,,,,,,,graphics/icons/hullsys/quantum_disruptor.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Электрозаряженные щиты,XHAN_ElectroChargedShields,,,,,,,,1,0.06,0.2,5,0.2,,,,,,,,,,,TRUE,,,graphics/icons/hullsys/damper_field.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Гиперкузня ракет,xhan_hyperforge,,,,,,0.95,,,,0.2,2,0.5,45,,,,,TRUE,,,,TRUE,,,,graphics/icons/hullsys/missile_autoforge.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Фазовая аномалия-приманка,PAMED_holodecoy,,,,,,0.1,,,,0.1,,3,15,,,,,,,,,,,,,graphics/icons/hullsys/active_flare_launcher.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Хронодислокатор,PAMED_Teleport,,,,,,0.20,,,,o.3,0,0.2,15,,TRUE,,TRUE,,,,,,,,,graphics/icons/hullsys/displacer.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Темпоральный створчатый привод,PAMED_TemporalDistortion,1,,,,,0.15,,,,0.3,1.4,5,5,,,,,,,,,,,,,graphics/icons/hullsys/temporal_shell.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Оптимизация энергии,XHAN_EnergyOpti,1,,,,,,,2,0.04,0.25,5,0.25,,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Фазовый скачок,XHAN_PhaseHop,,,,,,,,,,0.25,,0.25,11,,TRUE,,TRUE,,,,,,,,,graphics/icons/hullsys/displacer.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Биохимические ловушки,xhan_Chemflare,,,,,,,,3,0.06,,,,3,,,,,,,,,,,,,graphics/icons/hullsys/flare_launcher.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Резерв ловушек,xhan_FlareReserves,,,,,,,,2,0.05,,,,4,,,,,,,,,,,,,graphics/icons/hullsys/flare_launcher.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Плазменная оболочка,xhan_damper,1,,,,,,,4,0.05,0.25,5,0.25,0,,,,,,,,,TRUE,TRUE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Хронофазные катушки,XHAN_ChronoPhase,,,,,,,,,,0.6,,0.4,1.1,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,graphics/icons/hullsys/phase_cloak.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Манипулятор ноос-поля,XHAN_MindControl,,,,,,0.1,,,,0.25,,0.25,10,,,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Турбофорсаж,XHAN_TurboBurn,1,,,,,,,,,2,,1,10,TRUE,,,,,,,TRUE,TRUE,,,,graphics/icons/hullsys/burn_drive.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Аварийный ремонт,XHAN_EmergencyRepairs,,,,,,,,3,,1,10,1,25,,,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Факельный привод,XHAN_TorchDrive,1,,,,,,,,,4,3,1,40,FALSE,,,,,,TRUE,TRUE,,,,,graphics/icons/hullsys/burn_drive.png
