name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Нейтронный чейнган,Domain_neutronchain,0,,6000,800,,220,100,10,0,0,10,1.3,15,HIGH_EXPLOSIVE,300,,0,0.13,1,,0,15,5,10,,1800,,,200,SYSTEM,,,,,Общее,,,,,,,,,,8.001
Оккуклоп «Дециматор»,Occuklop_Decimator,0,,3500,1000,,500,,40,12,0,,,,HIGH_EXPLOSIVE,450,,0,6,10,0.12,5,30,5,5,,700,,,100,SYSTEM,he18,,Xhan Tech,,Против брони,,,,,,,,,,8.002
ЭМИ-ловушка «Xhan»,xhan_empflare_launcher,,,,500,,50,800,,,,,0,,ENERGY,0,0,0,0.1,5,0.3,90,90,0,0,,400,200,7,60,SYSTEM,,,,,,,,,,,,,,,8.014
Ударная ловушка «Xhan»,xhan_blastflare_launcher,,,,600,,100,,,,,,0,,HIGH_EXPLOSIVE,0,0,0,0.1,6,0.2,60,60,0,0,,250,400,3,80,SYSTEM,,,,,,,,,,,,,,,36
Фазовая аномалия-приманка,PAMED_holoemit,,,,1200,,10,400,,,,,0,,ENERGY,0,0,0,1,4,0.5,60,60,0,0,,200,250,20,300,SYSTEM,,,,,,,,,,,,,,,38
Импульсный лазер Агмад,Xhan_Agmad,,,1200,600,,130,,0,20,0,5,1.8,,HIGH_EXPLOSIVE,110,,0.05,0.05,1,,7,20,5,10,,3000,,,,SYSTEM,"energy13, codex_require_related",,Prime Divination,,Общее,,,,,,,,,,8.019
Ракетные блоки Эртшан,Xhan_Ertshan,,,5000,900,,180,200,5,25,0,24,0.5,12,ENERGY,20,,0,2,12,0.1,0,0,0,0,,500,500,3.5,100,"SYSTEM, DO_NOT_AIM, DO_NOT_CONSERVE","utility18, missile15, codex_require_related",,Prime Divination,,Общее,Быстро,Отличное,,,,,,,,8.017
Разрядник нестабильного энергетического тороида Уогек,Xhan_Uogek,0,,6000,600,,3000,2000,75,10,0,,,,ENERGY,2300,,0.6,4.5,1,,0,0,0,10,,420,420,3,40000,SYSTEM,"energy13, codex_require_related",,Prime Divination,,Общее,Быстро,Нет,,,,,,,TRUE,8.003
Биохимическая ловушка,Xhan_ChemFlare_Launcher,,,,350,,10,100,,,,,0,,ENERGY,0,0,0,0.1,2,0.25,60,60,0,0,,150,300,3,60,SYSTEM,codex_require_related,,Alvarium Doctrine,,,,,,,,,,,,36
Лазер ПВО Сзар,XHAN_Szar_Point_Defense,0,,600,500,90,,,0,360,4,,,,ENERGY,,40,0,0.25,,,,,,,3000,,,,,"PD, ANTI_FTR, SYSTEM","pd9, beam6, codex_require_related",,Prime Divination,,ПВО,,,,,,,,,,15.6
Электронный стержень,Xhan_ShockTail,0,,,360,,50,350,0,360,0,12,2,12,ENERGY,25,,0,0.16,1,,,,,,,10000,,,,"PD, ANTI_FTR, SYSTEM","25, codex_require_related",,High Tech,,Неизвестно,,Точечная оборона,,,,Идеально,Выпускает ЭМИ-дугу по ближайшей цели около текущего направления орудия. Дуга всегда попадает.,,,
