fieldID,fieldName,fieldType,defaultValue,secondaryValue,fieldDescription,minValue,maxValue,tab
,,,,,,,,
stelnet_General_Basic_Header,,Header,Доступные модули,,,,,
stelnet_General_Basic_Info,,Text,Включайте или отключайте отдельные функции Stellar Networks. Тонкую настройку каждой функции можно выполнить в разделе «Модули».,,,,,
stelnet_General_Basic_Commodities,Товары,Boolean,true,,"Включить модуль товаров (вкладки покупки, продажи и прибыли).",,,
stelnet_General_Basic_Contacts,Контакты,Boolean,true,,Включить модуль контактов (список контактов и удалённые звонки).,,,
stelnet_General_Basic_Exploration,Исследование,Boolean,true,,Включить модуль исследований (управление разведданными на вкладке «Исследование»). Лучше всего использовать вместе с Captains Log.,,,
stelnet_General_Basic_Market,Рынок,Boolean,true,,Включить запросы по рынку и просмотр рынка.,,,
stelnet_General_Basic_Storage,Хранилище,Boolean,true,,Включить модуль хранилища (поиск грузов и просмотр содержимого и местоположения складов).,,,
,,,,,,,,
stelnet_General_Advanced_Header,,Header,Дополнительно,,,,,
stelnet_General_Advanced_Uninstall,Удалить мод,Boolean,false,,"Удалить Stellar Networks при следующем сохранении. Это позволяет отключить мод и продолжить текущее прохождение. Обычно требуется при обновлении на версию с изменениями, а не просто с исправлениями ошибок.",,,
stelnet_General_Advanced_RequireCIR,Требовать связь в радиусе действия,Boolean,false,,"Если включено, модуль товаров и его разведданные, а также запросы и просмотр рынков и разведданные по результатам запросов будут видны только в пределах дальности связи. То же ограничение будет действовать и для удалённых звонков контактам.",,,
,,,,,,,,
stelnet_Commodity_Profit_Header,,Header,Модуль товаров,,,,,Модули
stelnet_Commodity_Profit_ResultNumber,Количество результатов,Int,50,,Максимальное число строк в таблице прибыли.,10,100,Модули
stelnet_Commodity_Profit_MinQuantity,Минимальный объём торговли,Int,100,,Минимальное количество товара для добавления строки в таблицу прибыли.,10,1000,Модули
stelnet_Commodity_Profit_MinProfit,Минимальная прибыль от сделки,Int,10000,,"Минимальная прибыль, необходимая для добавления строки в таблицу прибыли.",1000,100000,Модули
,,,,,,,,
stelnet_Contacts_Header,,Header,Модуль контактов,,,,,Модули
stelnet_Contacts_Sebestyen,"Позвони мне, может быть",Boolean,true,,"Разрешить удалённо звонить Себестьену — скрытому контакту (обычно он не отображается в разведданных контактов).

[ВНИМАНИЕ!]
После добавления Себестьена удалить его уже нельзя. Его скрытие или удаление может сломать цепочку заданий Galatia Academy.",,,Модули
stelnet_Contacts_Missionless,Не беспокоить до завершения,Boolean,true,,"Запретить удалённо звонить контактам, у которых есть активные задания. Исправляет лазейку, позволявшую, например, освободить пленников и сразу же «сдать» их через удалённый звонок.",,,Модули
,,,,,,,,
stelnet_Market_Header,,Header,Модуль рынка,,,,,Модули
stelnet_Market_UseSubmarketInfo,,Text,"Укажите, какие субрынки будут использоваться в запросах и в модуле просмотра рынка.",,,,,Модули
stelnet_Market_UseOpenMarket,Использовать открытые рынки,Boolean,true,,"Если включено, запросы по рынку будут показывать результаты с открытого рынка.",,,Модули
stelnet_Market_UseMilitaryMarket,Использовать военные рынки,Boolean,true,,"Если включено, запросы по рынку будут показывать результаты с военного рынка.",,,Модули
stelnet_Market_UseBlackMarket,Использовать чёрные рынки,Boolean,false,,"Если включено, запросы по рынку будут показывать результаты с чёрного рынка.",,,Модули
stelnet_Market_UseCustomMarket,Использовать пользовательские рынки,Boolean,false,,"Если включено, запросы по рынку будут показывать результаты с пользовательских (например, модовых) рынков.",,,Модули
stelnet_Market_Advanced,,Text,Дополнительные настройки модуля.,,,,,Модули
stelnet_Market_AdvancedAutoRefresh,Плагин автообновления,Boolean,true,,"Включить плагин, который будет периодически «посещать» рынок и при необходимости обновлять грузы, корабли и персонал. Работает только когда кампания находится на паузе (либо поставленной игроком, либо самой игрой — например, при открытых диалогах взаимодействия). Почти не влияет на производительность. Рекомендуется оставить включённым для более плавной игры, если вы используете функции рынка.",,,Модули
stelnet_Market_AdvancedCodexItems,Использовать предметы из кодекса,Boolean,false,,"Создавать списки истребителей (LPC), модификаций и оружия (для построения запросов) на основе Кодекса. Если отключено, будут использоваться известные списки видимых фракций.",,,Модули
stelnet_Market_AdvancedCodexShips,Использовать корабли из кодекса,Boolean,false,,"Создавать списки кораблей (для построения запросов) на основе Кодекса. Если отключено, будут использоваться известные списки видимых фракций.",,,Модули
