name,id,tags,rarity,base price,stack size,cargo space,icon,sound id,sound id drop,plugin,plugin params,desc,order
Пакет чертежей проекта Kaze,tahlan_kaze_package,package_bp,0.2,100000,1000,1,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,tahlan_kaze_bp,"Позволяет тяжёлой промышленности строить корпуса кораблей, связанные с засекреченным «Проектом Kaze».",210
Пакет чертежей оборудования Кассадари,tahlan_knight_package,package_bp,0.2,150000,1000,1,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,tahlan_knight_bp,Позволяет тяжёлой промышленности производить мистическое оружие и истребители Великих Домов Кассадара.,220
Резервная копия базы данных Кассадари,tahlan_knight_all_package,package_bp,0.01,6000000,1000,1,graphics/icons/cargo/blueprint_lowtech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,tahlan_knights,"Давно утраченная резервная копия архива данных Кассадари, содержащая схемы всех разработок Великих Домов Кассадара.",230
Пакет чертежей Legio Infernalis,tahlan_legio_package,package_bp,0.3,150000,1000,1,graphics/icons/cargo/blueprint_lowtech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,tahlan_legio_bp,Позволяет тяжёлой промышленности производить редкое оружие и истребители Legio Infernalis.,250
Полная база данных Legio Infernalis,tahlan_legio_full_package,package_bp,0,200000,1000,1,graphics/icons/cargo/blueprint_lowtech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,tahlan_legio,"База данных, содержащая все проекты кораблей и вооружения Legio Infernalis, доступные лишь её самым преданным членам.",260
База данных проекта Lifeless,tahlan_lifeless_package,package_bp,0.03,5000000,1000,1,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,tahlan_lifeless_bp,"Остатки скрытой базы данных, извлечённые из секретного архива. Она содержит схемы того, что именуется Флотом Безжизненных.",240
Таинственный архив чертежей,tahlan_rare_bp_package,package_bp,0.001,10000000,1000,1,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,rare_bp,"Архив чертежей неизвестного происхождения. Похоже, он содержит огромную коллекцию редких чертежей со всех уголков сектора.",270
Пакет чертежей лёгкой регалии,tahlan_jagdregalia_package,package_bp,0,50000,1000,1,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,tahlan_jagd_bp,"Извлечённый из баз данных спасённого авианосца класса Halbmond, этот архив содержит чертежи Rosenritter Jagdregalia.",270
Пакет чертежей регалии Silberblut,tahlan_silberblut_package,package_bp,0,50000,1000,1,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,tahlan_silberherz_bp,"Извлечённый из баз данных спасённого авианосца класса Halbmond, этот архив содержит чертежи Rosenritter Silberblut Regalia.",270
Пакет чертежей Halbmond,tahlan_halbmond_package,package_bp,0,50000,1000,1,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,tahlan_halbmond_bp,"Извлечённый из баз данных спасённого авианосца класса Halbmond, этот архив содержит чертежи самого корабля.",270
Пакет чертежей Nachtgesang,tahlan_schneefall_package,package_bp,0,50000,1000,1,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,tahlan_schneefall_bp,"Извлечённый из баз данных спасённого авианосца класса Halbmond, этот архив содержит чертежи неизвестного линейного крейсера Rosenritter.",270
,,,,,,,,,,,,,
Нейросвязь,tahlan_neurallinkspecial,"no_drop, mission_item",0,0,1,1,graphics/tahlan/icons/cargo/neurallink.png,ai_core_pickup,ui_alpha_core_drop,org.niatahl.tahlan.campaign.items.NeuralLinkPlugin,,Станьте единым целым с машиной. При использовании открывает навык «Цифровая душа».,50
