bounty_id,level,rank,firstName,lastName,captainPersonality,fleetName,flagshipName,gender,faction,portrait,greetingText,suppressIntel,postedByFaction,creditReward,repReward,intelText,flagshipVariantId,fleetVariantIds,minimumFleetFP,playerFPScalingFactor,chanceToAutoRecover,specialItemRewards,neverSpawnUnlessBountiesCompleted,neverSpawnWhenFactionHostile,neverSpawnWhenFactionNonHostile,neverSpawnBeforeCycle,neverSpawnBeforeLevel,neverSpawnBeforeFleetPoints
tahlan_bounty_metafalica,7,tahlan_architect,Kogu,Everdale,aggressive,Kassadari Fleet,Metafalica,FEMALE,hvb_hostile,graphics/tahlan/portraits/characters/tahlan_portrait_maus.png,Гордость Kassadar не тратит время на жалких крыс. Отступите.,FALSE,independent,1000000,10,"Тут награда за какую-то... мышедевушку? Не уверен, шутка это или нет, но, видимо, некоторым нравятся модификации тела. Похоже, она командует старым прототипом линкора Kassadari и ведёт большой авианосный флот как минимум из шести проклятых Hresvelgr. Лучше взять побольше перехватчиков, босс.",tahlan_Metafalica_standard,"tahlan_Hresvelgr_thunder, tahlan_Hresvelgr_thunder, tahlan_Hresvelgr_thunder, tahlan_Hresvelgr_thunder, tahlan_Hresvelgr_thunder, tahlan_Hresvelgr_thunder, tahlan_drover_thunderer, tahlan_drover_thunderer, tahlan_drover_thunderer, tahlan_drover_thunderer, tahlan_drover_thunderer, tahlan_drover_thunderer, tahlan_drover_thunderer, tahlan_drover_thunderer, tahlan_drover_thunderer, tahlan_drover_thunderer, tahlan_drover_thunderer, tahlan_drover_thunderer, tahlan_drover_thunderer, tahlan_drover_thunderer, tahlan_drover_thunderer",500,1.3,1,,tahlan_bounty_numistri,FALSE,FALSE,207,14,200
tahlan_bounty_hresvelgr,4,tahlan_unit,P-442,,steady,Rogue Fleet,P-442,MALE,remnant,graphics/portraits/portrait_ai2b.png,Неопознанная сущность. Инициация боевых протоколов.,FALSE,tritachyon,1000000,15,"Похоже, кое-кто из вечно надёжной Tri-Tachyon Corporation снова игрался с ИИ, и теперь на свободе бродит мятежный ИИ-авианосец с экипажем людей под управлением имплантов. Tri-Tachyon винит в инциденте некие отступнические элементы, но пусть с этим разбирается Гегемония. От вас требуется только отключить мятежный ИИ.",tahlan_Hresvelgr_X_missile,"radiant_Strike, radiant_Strike",350,1.3,1,,,FALSE,FALSE,208,10,200
tahlan_bounty_nibelung,5,spaceAdmiral,Siegmund,Dragonbane,aggressive,The Dragonslayers,Kriemhild,MALE,hegemony,graphics/portraits/portrait_hegemony05.png,"Хмф, ещё один дракон, которого мне предстоит сразить.",FALSE,sindrian_diktat,500000,15,"Неназванные синдрийские чиновники объявили награду за командира Гегемонии, носящего довольно нелепый титул Dragonslayer. Похоже, он доставил Diktat немало головной боли, и теперь от него хотят избавиться. По слухам, он командует доколлапсной древностью класса линкор, которая может оказаться неплохим коллекционным трофеем.",tahlan_Nibelung_n_boss,"tahlan_Nibelung_elite, tahlan_Nibelung_elite",400,1.4,1,,,FALSE,FALSE,207,14,200
tahlan_bounty_phoca,4,spaceCaptain,James,Punkhead,aggressive,The Red Racers,Sonoshee,MALE,pirates,graphics/portraits/portrait_pirate03.png,"Точно не хочешь решить это гонкой? Да ладно, чувак. Чёрт.",FALSE,hegemony,500000,10,"Здесь странная награда за гонщика, ставшего пиратом. Похоже, гонки нынче не слишком прибыльны — кто бы мог подумать. Возможно, стоит проверить: может, удастся прихватить симпатичный гоночный корабль.",tahlan_Phoca_r_boss,"falcon_p_tournament, falcon_p_tournament, falcon_p_tournament, falcon_p_tournament, falcon_p_tournament, falcon_p_tournament, falcon_p_tournament, falcon_p_tournament, falcon_p_tournament, falcon_p_tournament, falcon_p_tournament, falcon_p_tournament, falcon_p_tournament, falcon_p_tournament, falcon_p_tournament, falcon_p_tournament, falcon_p_tournament, falcon_p_tournament, falcon_p_tournament, falcon_p_tournament",250,1.1,1,,,FALSE,FALSE,208,5,100
tahlan_bounty_cuchulainn,5,spaceAdmiral,Adria,Johnston,aggressive,Tri-Tachyon Escorts,Dominance,FEMALE,tritachyon,graphics/portraits/portrait_corporate04.png,"Я прослежу, чтобы вы пожалели об этом.",FALSE,hegemony,500000,15,"Этот контракт пришёл по каналам Гегемонии, но, по мне, больше похож на личную вендетту. Заказ на руководителя среднего звена Tri-Tachyon, помешанного на коллекционировании редких и уникальных кораблей. Они хотят, чтобы мы освободили их от одной из ценных игрушек — уничтожили её или забрали себе. Попахивает мелкой местью, но платят хорошо, и, возможно, мы сможем увести этот корабль. Тут написано, что это гигантское корабельное тахионное копьё с двигателями — можете поверить в такую хрень?",tahlan_Cuchulainn_proto,"paragon_Elite, paragon_Elite, tahlan_astral_sabots, tahlan_astral_sabots, tahlan_astral_sabots",350,1.2,1,,,FALSE,FALSE,208,10,150
tahlan_bounty_numistri,6,spaceCaptain,Samira,Vhalen,aggressive,Independent Fleet,Numistri,FEMALE,hvb_hostile,graphics/portraits/portrait27.png,"Отступите. Это не враждебная операция, и мы не желаем кровопролития.",FALSE,pirates,600000,20,"Вот ещё одно прибыльное предложение, если мы снова не против выполнить грязную работу какого-то пиратского лорда. Большая цена за какой-то разукрашенный золотом линейный крейсер. Похоже на изделие Kassadari, но всё покрыто позолотой. Должно быть, тут замешана какая-то зависть к блеску или что-то вроде того, но кто знает, что творится в головах у пиратов.",tahlan_Ristreza_g_standard,,450,1.3,1,,,FALSE,FALSE,208,14,200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# bounty_id : line ID. Must be unique across all mods. I recommend a prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# level : character level of bounty captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
