name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Кооперативные протоколы,tahlan_cooperative_protocols_yuki,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.CooperativeProtocolsYuki,"Корпуса Yukikaze и Korikaze изначально разрабатывались для совместного применения. Yukikaze оснащён мощным набором управляющих устройств и передатчиков, позволяющих передавать подробную боевую информацию всем находящимся поблизости кораблям класса Korikaze.Если любой союзный корабль класса Korikaze находится в пределах %s SU, этот корабль считает свой рейтинг ECM на %s выше, получает на %s лучшую точность автоогня и дополнительно %s к максимальной скорости и ускорению.Если в этом радиусе находится не менее %s кораблей класса Korikaze, все бонусы увеличиваются на %s.",Бонус при группе с Korikaze,,graphics/tahlan/hullmods/cooperative_protocols.png
Кооперативные протоколы,tahlan_cooperative_protocols_kori,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.CooperativeProtocolsKori,"Корпуса Korikaze и Yukikaze изначально разрабатывались для совместного применения. Korikaze оснащён точно настроенными приёмопередатчиками, позволяющими ему безошибочно обмениваться данными и боевой информацией с ближайшим кораблём класса Yukikaze.Если союзный корабль класса Yukikaze находится в пределах %s SU, этот корабль игнорирует %s вражеского ECM, считает свой рейтинг ECM на %s выше и получает %s дополнительной дальности для всего оружия.",Бонус при группе с Yukikaze,,graphics/tahlan/hullmods/cooperative_protocols.png
Инженерия Kassadari,tahlan_knightrefit,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.KnightRefit,"Редкий корабль, построенный Великими Домами.Оснащён чрезвычайно продвинутым %s неизвестной конструкции, который постоянно ускоряет течение времени корабля на %s. Чтобы освободить место для открытых компонентов системы, броня уменьшается на %s в зависимости от размера корпуса, а ежемесячный расход припасов увеличивается на %s. Кроме того, из-за хрупкости механизмов боеготовность после окончания пикового времени снижается вдвое быстрее.В экстренных ситуациях Temporal Circuit переходит в режим перегрузки. Он активируется автоматически, если целостность корпуса падает ниже %s, и ускорение времени повышается до %s.Из-за высокой потребности в энергии все эти эффекты составляют лишь %s, а хрупкая природа сетки контура может привести к серьёзному риску неисправностей, если снять предохранители через overrides. Кроме того, они %s.",Модернизированный рефит,,graphics/tahlan/hullmods/tahlan_knightrefit.png
Продвинутый баллистический интерфейс,tahlan_advballistics,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.AdvBallistics,Усиленные крепления уменьшают стоимость в очках вооружения для баллистического оружия на %s.,Снижает стоимость ОП всего баллистического оружия.,,graphics/hullmods/ballistics_integration.png
Бортовые крепления,tahlan_broadsidemounts,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.BroadsideMounts,"Орудийные крепления этого корабля были усилены, чтобы лучше выдерживать нагрузки бортовых перестрелок.Прочность орудийных креплений увеличивается на %s, ремонт ускоряется на %s, а стоимость крупнокалиберного оружия в ОП уменьшается на %s.",Укрепляет оружейные крепления,,graphics/hullmods/armored_weapon_emplacements.png
Принудительный форсаж,tahlan_forcedoverdrive,,0.5,,"shields, offensive",,10000,,,,4,8,14,20,org.niatahl.tahlan.hullmods.ForcedOverdrive,"Необычная модификация для корпусов и рефитов Kassadari: энергия перенаправляется со щитов в Temporal Conduit Grid, что обеспечивает %s. Чтобы хотя бы частично компенсировать потерю щитов, освобождённый вес снятого генератора используется для установки дополнительной брони %s.(Может быть установлено только на корабли Kassadari)",Жертвует щитами ради постоянной активации форсажа.,,graphics/tahlan/hullmods/tahlan_knightrefit.png
Темпоральный маршевый привод,tahlan_temporaltraveldrive,,,,,,,,TRUE,TRUE,0,0,0,0,org.niatahl.tahlan.hullmods.TemporalTravelDrive,"Поскольку установленная на кораблях Kassadari Temporal Circuit Grid требует огромного всплеска энергии в начале боя, система связана с маршевыми двигателями корабля. Перенаправляя энергию от приводов при входе в бой, контур запускается в сверхзаряженном состоянии и швыряет корабль в сражение под резко ускоренным течением времени.",Ускоряет время при входе в бой.,,graphics/tahlan/hullmods/tahlan_knightrefit.png
Тесные ангарные отсеки,tahlan_crampedhangars,,,,fighters,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.CrampedHangars,"Установка чрезмерно большого числа ангаров привела к очень тесным палубам, из-за чего обслуживать и перевооружать истребители в бою стало сложнее. В результате время переоснащения истребителей увеличивается на %s.",Увеличено время обслуживания истребителей.,,graphics/tahlan/hullmods/tahlan_cramped_hangar.png
Безжизненные системы,tahlan_noname,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.NoName,"Этот неизвестный проект корабля оснащен %s неизвестной конструкции, напоминающим устройства на кораблях Kassadari, что ускоряет течение его времени на %s. В его основе находится продвинутая нанокузница дронов, способная быстро строить дроны в бою %s. Высокая сложность этой технологии увеличивает ежемесячные расходы на обслуживание на %s.",Ускорение времени и улучшенная нанофабрика дронов.,,graphics/hullmods/targeting_supercomputer.png
Послепродажные фазовые катушки,tahlan_aftermarketphasecoils,,,,,,,,TRUE,,0,0,0,0,org.niatahl.tahlan.hullmods.AftermarketPhasecoils,"Корабль оснащен набором спасенных фазовых катушек и способен постоянно проецировать слабое фазовое поле, полностью убирая свою сенсорную сигнатуру. Однако корабль не был рассчитан на фазовые катушки, поэтому сильные помехи в системах наведения резко ограничивают дальность его оружия после %s, а расходы на обслуживание составляют %s.",Снижает сигнатуру сенсоров и ограничивает дальность.,,graphics/hullmods/phase_field.png
