name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,isPhaseCloak,noVent,tags,icon
Штурмовой форсаж,tahlan_stormdrive,1,,,,,,,,,0.5,1,0.5,7,,,,,,,TRUE,TRUE,TRUE,,TRUE,,graphics/icons/hullsys/burn_drive.png
Инфернальный натиск,tahlan_infernalcharge,1,,,,,,,,,0.5,3,0.5,15,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,,TRUE,,graphics/icons/hullsys/burn_drive.png
Священная ярость,tahlan_holyfuror,1,,,,,,,,,0.5,5,0.5,15,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
Божественная мощь,tahlan_divinemight,,,,,,,,3,0.05,0.5,2,0.5,,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
Абсолютная добродетель,tahlan_absolutevirtue,,,,,,,,,,0.5,3,0.5,12,,,,,TRUE,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
Привод странника,tahlan_errantdrive,,,,0.1,,,,,,0.5,0.5,0.1,7,,,,TRUE,,TRUE,,,TRUE,,TRUE,,graphics/icons/hullsys/maneuvering_jets.png
Штурмовая блокировка,tahlan_assaultlockdown,,,,,,,,,,2,,2,5,TRUE,,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
Режим часового,tahlan_sentrymode,,,,,,,,,,1,,1,,TRUE,,,,,,TRUE,TRUE,,,,,graphics/icons/hullsys/fortress_shield.png
Навигационная подача,tahlan_navigationfeed,,,,,,0.3,,,,0.5,20,0.5,10,,,,,,,,,,,,,graphics/icons/hullsys/targeting_feed.png
Кривая навигационная подача,tahlan_dodgynavigationfeed,,,,,,0.2,,,,0.5,20,0.5,10,,,,,,,,,,,,,graphics/icons/hullsys/targeting_feed.png
Оборонительные построения,tahlan_defformation,,,,,,0.2,,,,0.5,10,0.5,5,,,,,,,,,,,,,graphics/icons/hullsys/targeting_feed.png
Темпоральный координатор,tahlan_temporalcoordinator,,,,,,0.1,,,,0.5,6,0.5,12,,,,,,,,,,,,,graphics/icons/hullsys/targeting_feed.png
Периодический разрушитель,tahlan_periodicbreaker,,,,,,0.40,,,,3,6,1,18,,,TRUE,TRUE,,,,,TRUE,,TRUE,,graphics/icons/hullsys/temporal_shell.png
Хроноразрыв,tahlan_temporaldrift,,,,,,0.15,,,,0.2,0.5,4,8,,,,TRUE,,,,,,,TRUE,,graphics/icons/hullsys/temporal_shell.png
Хронопролом,tahlan_supertemporaldrift,,,,,,0.1,,,,0.5,3,0.5,5,,,,TRUE,,,,,,,TRUE,,graphics/icons/hullsys/temporal_shell.png
Щит оплота,tahlan_strongholdshield,,,0.025,,,,,,,1.5,,1.5,0,TRUE,,,TRUE,TRUE,,,,,,,,graphics/icons/hullsys/fortress_shield.png
Кавалерийский натиск,tahlan_cavalrycharge,1,,,,,,,,,1,2,1,12,,,,,,,TRUE,TRUE,TRUE,,TRUE,,graphics/icons/hullsys/burn_drive.png
Налётные двигатели,tahlan_raiderjets,,,,,,,,,,0.5,1.5,3,5,,,,,,,,,,,,,graphics/icons/hullsys/maneuvering_jets.png
Форсажный ускоритель,tahlan_boostthruster,,,,,,,,,,0.5,5,0.5,8,,,,,,,,,,,,,graphics/icons/hullsys/maneuvering_jets.png
Штурмовые двигатели,tahlan_raidestjets,,,,,,,,3,0.1,0.2,1,1,0.1,,,,,,,,,,,,,graphics/icons/hullsys/maneuvering_jets.png
Перегрузка вооружения,tahlan_weaponsoverdrive,1,,,,,,,3,0.05,0.25,3,0.25,,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
Усиленный РЭБ-комплекс,tahlan_activeeccm,,,,,,0.2,,,,0.5,10,0.5,2,TRUE,,,,,,,,,,,,graphics/icons/hullsys/targeting_feed.png
Тяжёлый фазовый плащ,tahlan_heavyphase,,,,,,,,,,0.5,,0.5,2,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,TRUE,,,graphics/icons/hullsys/phase_cloak.png
Вспомогательные двигатели,tahlan_auxthrusters,,,,,,,,3,0.1,0.5,5,0.5,,,,,,,,,,,,,,graphics/icons/hullsys/maneuvering_jets.png
