name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip
#General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiva разрушающий луч,tahlan_shiva,2,0.5,15000,600,800,,,500,15,26,,,,ENERGY,,600,0.1,0.1,,,,,,,3000,,,,,,"energy15, beam14, SR, tahlan_kaze_bp",,Обычное,,Штурмовое,,,,,Снижает подвижность поражённых целей,,,,
Armiger батарея,tahlan_armiger,2,,5000,1100,,200,,50,7,26,,,,HIGH_EXPLOSIVE,220,,0,1.4,3,0.2,,8,1,4,,900,,,400,,"he18, LR, rare_bp",,Обычное,,Против брони,,,,,,,,,
Efreet пушка,tahlan_efreet,2,,6000,1100,,300,,50,7,26,,,,KINETIC,330,,0,2.6,3,0.2,0,12,3,2,,1000,,,400,,"kinetic18, rare_bp",,Обычное,,Универсальное,,,,,,,,,
Titanomachy,tahlan_titanomachy,3,,10000,1000,450,,,0,15,24,,,,ENERGY,,405,,,,,,,,,10000,1000,,,,,"energy18, rare_bp",,Неизвестно,,Универсальное,,,,,"Выпускает дополнительные дуги примерно %s раз в секунду, нанося %s энергетического и %s ЭМИ-урона, пока уровень потока стреляющего корабля составляет %s или выше",2 | 50 | 250 | 50%,"%s: если установлено более одного оружия с этим свойством, оно будет %s корабля.",слабые помехи|снижать рассеивание потока,
Amboss тяжелая автопушка,tahlan_amboss,2,0.8,8000,700,,300,,50,12,20,,,,HIGH_EXPLOSIVE,300,,0,0.5,,,0,8,1,2,,1000,,,100,,"he15, rare_bp",,Обычное,,Против брони,,,,,,,,,
PEPPA пушка,tahlan_ppa,2,0.6,8000,800,,200,100,50,8,22,,,,FRAGMENTATION,66.6,,0,1.6,5,0.1,0,0,0,0,,1200,,,100,,"energy10, utility15, remnant, rare_bp",,Обычное,,Универсальное,,,,,Прямые попадания по броне или корпусу имеют шанс вызвать дополнительный дуговой ЭМИ-урон,,,,
Pastella бластер,tahlan_pastel,3,0.2,8000,450,,300,,10,14,14,,,,ENERGY,240,,0.3,0.75,4,0.15,0,8,2,4,,1000,,,30,,"energy15, SR, rare_bp",,Обычное,,Универсальное,,,,,,,"%s: если установлено более одного оружия с этим свойством, оно будет %s корабля.",слабые помехи|снижать рассеивание потока,
Breaker роторный пушка,tahlan_breaker,3,0.2,4000,800,,200,,30,14,20,48,1.6,16,HIGH_EXPLOSIVE,220,,0.1,0.1,4,0.2,0,12,2,6,,800,,,50,,"he18, rare_bp",,Обычное,,Против брони,,,,,,,,,
Aetnos ударная пушка,tahlan_aetnos,2,,750,800,,300,,15,20,13,,,,HIGH_EXPLOSIVE,300,,0,2.3,2,0.2,0,15,5,10,,800,,,30,,"he13, lowtech_bp",,Обычное,,Против брони,,,,,,,,,
Ryza-type плазменная пушка,tahlan_ryza,3,0.2,8000,700,,1200,,200,9,28,,,,ENERGY,1620,,0.5,3,,,0,5,1,2.5,,900,,,500,"STRIKE, USE_VS_FRIGATES","energy20, rare_bp",,Обычное,,Подавление,,,,,"При попадании вызывает взрыв по площади, наносящий дополнительный энергетический урон %s.",120,,,
Mezoa-type плазменная орудие,tahlan_mezoa,3,0.2,5000,600,,800,,100,12,14,,,,ENERGY,1080,,0.5,3,,,0,5,1,2.5,,750,,,500,"STRIKE, USE_VS_FRIGATES","energy15, rare_bp",,Обычное,,Подавление,,,,,"При попадании вызывает взрыв по площади, наносящий дополнительный энергетический урон %s.",80,,,
Vesuvio магпушка,tahlan_vesuvio,3,0.2,4000,800,,100,100,20,8,22,,,,KINETIC,110,,0,0.25,,,0,6,0.25,3,,1400,,,400,,"kinetic16, remnant, rare_bp",,Обычное,,Против щитов,,,,,Прямые попадания по броне или корпусу имеют %s шанс вызвать дополнительный дуговой энергетический и ЭМИ-урон в размере %s,20% | 100,,,
Novaspear,tahlan_novaspear,2,0.8,10000,700,,500,250,100,12,30,6,0.8,3,HIGH_EXPLOSIVE,600,,0,0.4,,,0,0,0,0,,1300,,,100,"STRIKE, USE_VS_FRIGATES","he18, restricted",,[ошибка_базы],,Против брони,,,,,,,,,
Novadart,tahlan_sunspear,2,0.8,6000,600,,300,150,100,12,15,6,0.8,3,HIGH_EXPLOSIVE,360,,0,0.4,,,0,0,0,0,,1300,,,100,"STRIKE, USE_VS_FRIGATES","he14, restricted",,[ошибка_базы],,Против брони,,,,,,,,,
